trial,testing,parameters,initial_deadline,final_deadline,net_reward,actions,success
6960,False,"{'a': 0.1, 'e': 0.030807411032751076}",20,13,13.944520574631598,"{0: 7, 1: 0, 2: 0, 3: 0, 4: 0}",1
6961,False,"{'a': 0.1, 'e': 0.030792011177519334}",25,20,9.922694677061699,"{0: 5, 1: 0, 2: 0, 3: 0, 4: 0}",1
6962,False,"{'a': 0.1, 'e': 0.03077661902029056}",20,16,8.91276565228376,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
6963,False,"{'a': 0.1, 'e': 0.030761234557216688}",25,15,19.38339620682048,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
6964,False,"{'a': 0.1, 'e': 0.030745857784451616}",20,16,9.390355607344945,"{0: 4, 1: 0, 2: 0, 3: 0, 4: 0}",1
6965,False,"{'a': 0.1, 'e': 0.030730488698151162}",25,15,21.99809132600093,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
6966,False,"{'a': 0.1, 'e': 0.03071512729447303}",30,22,14.78540476725124,"{0: 8, 1: 0, 2: 0, 3: 0, 4: 0}",1
6967,False,"{'a': 0.1, 'e': 0.030699773569576882}",30,14,27.116242371188726,"{0: 16, 1: 0, 2: 0, 3: 0, 4: 0}",1
6968,False,"{'a': 0.1, 'e': 0.0306844275196243}",20,5,12.784788609312812,"{0: 14, 1: 0, 2: 1, 3: 0, 4: 0}",1
6969,False,"{'a': 0.1, 'e': 0.030669089140778743}",20,7,25.116831473669695,"{0: 13, 1: 0, 2: 0, 3: 0, 4: 0}",1
6970,False,"{'a': 0.1, 'e': 0.030653758429205646}",20,11,15.212581911967005,"{0: 9, 1: 0, 2: 0, 3: 0, 4: 0}",1
6971,False,"{'a': 0.1, 'e': 0.0306384353810723}",25,14,22.298096323805748,"{0: 11, 1: 0, 2: 0, 3: 0, 4: 0}",1
6972,False,"{'a': 0.1, 'e': 0.03062311999254796}",25,15,18.687886641164084,"{0: 10, 1: 0, 2: 0, 3: 0, 4: 0}",1
6973,False,"{'a': 0.1, 'e': 0.03060781225980379}",30,16,25.442255378590186,"{0: 14, 1: 0, 2: 0, 3: 0, 4: 0}",1
